,General,,,,
General,Who is Crowdo?,"Crowdo is a regional Fintech platform offering a full portfolio of alternative financing solutions across Peer-to-Business Lending and Equity Crowdfunding. With operations in Singapore, Malaysia and Indonesia, Crowdo boasts a global community of over 29,000 members and has successfully financed more than 1,000 projects to date.",,Siapakah CROWDO?,"Crowdo adalah platform fintech regional yang menawarkan portofolio lengkap sebagai solusi alternatif bagi pembiayaan melalui Peer-to-Business Lending dan Equity Crowdfunding. Beroperasi di Singapura, Malaysia dan Indonesia, Crowdo kini mempunyai komunitas global sebanyak lebih dari 29,000 anggota dan sampai saat ini telah sukses mendanai lebih dari 1,000 proyek."
General,What is Peer to Peer Lending (P2P) ?,"P2P is a new way to use the internet and social media to efficiently connect businesses trying to raise funds with investors looking to invest in promising Entrepreneurs and Small-Medium Size Businesses (SMEs). With P2P, everyone can directly invest and support local SMEs and everyone can access funding without relying only on traditional financial intermediaries such as banks.",,Apakah yang dimaksud Peer-to-Peer Lending (P2P)?,"P2P adalah cara baru menggunakan media internet dan sosial yang secara efisien menghubungkan bisnis yang mencoba mengumpulkan dana dengan investor yang ingin berinvestasi di Pengusaha dan Usaha Kecil Menengah (UKM). Dengan P2P, semua orang langsung bisa berinvestasi dan mendukung UKM lokal dan semua orang dapat mengakses dana tanpa bergantung hanya pada lembaga keuangan tradisional seperti bank"
General,What are the intended benefits of Peer to Peer Lending (P2P) for Entrepreneurs and SMEs ?,"For Entrepreneurs and SMEs, P2P aims to provide a simpler and better way to fundraise online. Simpler, because you can leverage a standardized template and easy online processes to configure your fundraising request; Better as you can now leverage the full power of the internet such as digital and social media to market and PR your fundraising activities to raise Investor awareness and encourage their participation.",,Apa keuntungan yang bisa diperoleh dari Peer to Peer Lending (P2P) bagi Pengusaha dan UKM?,"Untuk pengusaha dan UKM, P2P bertujuan menyediakan cara yang sederhana dan lebih baik untuk menggalang dana secara online. Sederhana, karena Anda dapat memanfaatkan template standar dan proses online yang mudah untuk mengkonfigurasikan permohonan penggalangan dana Anda. Lebih baik, karena Anda kini dapat menggunakan kecanggihan internet seperti media digital dan sosial untuk memasarkan dan mempublikasikan kegiatan penggalangan dana Anda untuk meningkatkan perhatian investor dan mendorong partisipasi mereka."
General,What are the intended benefits of Peer to Peer Lending (P2P) for Investors ?,"For Investors, P2P aims to provide a more transparent and diversified approach to investment opportunities. Each Investor Member has access to investment opportunities in SME loans previously only available to professional Investors. All the information of each loan is easily accessible via the web portal. Thanks to the low minimum investment size required, Investors can potentially spread their investments across multiple investment opportunities hence diversifying their portfolio. Finally, Investors can easily track their investment performance online, anytime, anywhere.",,Apa keuntungan yang bisa diperoleh dari Peer to Peer Lending (P2P) bagi investor?,"Untuk investor, P2P bertujuan untuk untuk memberikan pendekatan yang lebih transparan dan beragam untuk peluang investasi. Setiap anggota investor mempunyai akses ke peluang investasi di kredit UKM yang sebelumnya hanya tersedia bagi investor professional. Semua informasi dari setiap pinjaman bisa diakses secara mudah melalui portal web. Berkat jumlah minimum investasi yang rendah, investor berpotensi menyebar investasinya di beberapa peluang investasi dan dapat mendiversifikasi portofolio mereka. Pada akhirnya, investor dapat dengan mudah melacak hasil investasi mereka secara online, kapanpun, dimanapun."
General,Who are the Borrowers?,We are open to all types of Businesses. All Borrowers must first successfully undergo Crowdo's due diligence process.,,Siapa yang dimaksud dengan Peminjam?,Kami terbuka untuk semua jenis Bisnis. Semua Peminjam harus berhasil menjalani proses uji kelayakan terlebih dahulu oleh Crowdo.
General,Who is eligible to become a Borrower?,"In Singapore, you must be a non-publicly listed company. For Indonesia, you must be an Indonesia incorporated entity/tax resident.",,Siapa saja yang bisa menjadi Peminjam?,"Di Singapura, Anda harus menjadi perusahaan non-publik yang terdaftar. Untuk Indonesia, Anda merupakan perusahaan berbadan hukum/ wajib pajak di Indonesia."
General,What is a Loan?,"A Loan is an arrangement whereby one or many lenders/investors gives money to a borrower and the borrower agrees to repay the money along with interest at some future point in time, according to a pre-agreed repayment schedule. A Loan is defined by an amount (principle), the duration of the loan (tenor), the interest rate returned to investor (interest rate) and by the frequency of the repayments to investors (frequency).",,Apa yang dimaksud dengan pinjaman?,"Pinjaman adalah pengaturan dimana satu atau banyak pendana / investor memberikan uang kepada peminjam dan peminjam setuju untuk membayar kembali uang beserta bunga di beberapa waktu ke depan, menurut jadwal pembayaran yang telah disetujui sebelumnya. Pinjaman didefinisikan sebagai jumlah (pokok pinjaman), durasi pinjaman (tenor), tingkat bunga kembali ke investor (tingkat suku bunga) dan frekuensi pembayaran kepada investor (frekuensi)."
General,Who can become an Investor?,"Everyone can apply to become an Investor by submitting required information via Crowdo's website. To begin the application process, sign up and login to the website and click on the ""Become Investor"" link.",,Siapa saja yang dapat menjadi Investor?,"Setiap orang dapat mengajukan permohonan untuk menjadi Investor dengan mengirimkan informasi yang diperlukan melalui website Crowdo. Untuk memulai proses aplikasi, daftar dan login ke website lalu klik pada link ""Menjadi Investor""."
General,Does Crowdo review each Loan before it is published?,"Yes. Each submitted Loan will need to undergo business and technical review conducted by the Crowdo Team and its Partners before being published on the platform. However, this review is not meant to recommend the investablity of the business or guarantee Investment returns. Each Investor will need to make their own investment decision.",,Apakah Crowdo memeriksa setiap pinjaman sebelum diterbitkan?,"Ya. Setiap Pinjaman yang masuk, akan melalui analisa bisnis dan kajian teknis yang dilakukan oleh Tim Crowdo dan Partners sebelum dipublikasikan di platform. Namun, kajian ini tidak dimaksudkan untuk merekomendasikan investabilitas bisnis atau jaminan hasil investasi. Setiap Investor wajib membuat keputusan investasi mereka sendiri."
