,"General",,,,
"General","Who is Crowdo?","Crowdo is a regional Fintech platform offering a full portfolio of alternative financing solutions across Peer-to-Business Lending and Equity Crowdfunding. With operations in Singapore, Malaysia and Indonesia, Crowdo boasts a global community of over 30,000 members and has successfully financed more than 2,000 projects to date.",,"Siapakah CROWDO?","Crowdo adalah platform fintech regional yang menawarkan portofolio lengkap sebagai solusi alternatif bagi pembiayaan melalui Peer-to-Business Lending dan Equity Crowdfunding. Beroperasi di Singapura, Malaysia dan Indonesia, Crowdo kini mempunyai komunitas global sebanyak lebih dari 29,000 anggota dan sampai saat ini telah sukses mendanai lebih dari 1,000 proyek."
"General","What is Peer to Peer Lending (P2P) ?","Peer-to-Business Lending (P2P) is a new way to use the internet and latest technologies to efficiently connect businesses trying to raise funds with investors looking to invest in promising Entrepreneurs and Small-Medium Size Businesses (SMEs). With P2P, everyone can directly invest and support local SMEs and everyone can access funding without relying only on traditional financial intermediaries such as a banks.",,"Apakah yang dimaksud Peer-to-Peer Lending (P2P)?","P2P adalah cara baru menggunakan media internet dan sosial yang secara efisien menghubungkan bisnis yang mencoba mengumpulkan dana dengan investor yang ingin berinvestasi di Pengusaha dan Usaha Kecil Menengah (UKM). Dengan P2P, semua orang langsung bisa berinvestasi dan mendukung UKM lokal dan semua orang dapat mengakses dana tanpa bergantung hanya pada lembaga keuangan tradisional seperti bank"
"General","What are the intended benefits of Peer to Peer Lending (P2P) for Entrepreneurs and SMEs ?","For Entrepreneurs and SMEs, P2P aims to provide a simpler and better way to fundraise online. Simpler, because you can leverage a standardized template and an easy online processes to configure your fundraising request; Better as you can now leverage the full power of the internet such as digital and social media to market and PR your fundraising activities to raise Investor awareness and encourage their participation.",,"Apa keuntungan yang bisa diperoleh dari Peer to Peer Lending (P2P) bagi Pengusaha dan UKM?","Untuk pengusaha dan UKM, P2P bertujuan menyediakan cara yang sederhana dan lebih baik untuk menggalang dana secara online. Sederhana, karena Anda dapat memanfaatkan template standar dan proses online yang mudah untuk mengkonfigurasikan permohonan penggalangan dana Anda. Lebih baik, karena Anda kini dapat menggunakan kecanggihan internet seperti media digital dan sosial untuk memasarkan dan mempublikasikan kegiatan penggalangan dana Anda untuk meningkatkan perhatian investor dan mendorong partisipasi mereka."
"General","What are the intended benefits of Peer to Peer Lending (P2P) for Investors ?","For Investors, P2P aims to provide a more transparent and diversified approach to investment opportunities. Each Investor Member has access to investment opportunities in SME loans previously available only to a few professional Investors. All the information of each loan is easily accessible via the web portal. Thanks to the low minimum investment size required, Investors can potentially spread their investments across multiple investment opportunities hence diversify their portfolio. Finally, Investors can easily track their investment performance online, anytime, anywhere.",,"Apa keuntungan yang bisa diperoleh dari Peer to Peer Lending (P2P) bagi investor?","Untuk investor, P2P bertujuan untuk untuk memberikan pendekatan yang lebih transparan dan beragam untuk peluang investasi. Setiap anggota investor mempunyai akses ke peluang investasi di kredit UKM yang sebelumnya hanya tersedia bagi investor professional. Semua informasi dari setiap pinjaman bisa diakses secara mudah melalui portal web. Berkat jumlah minimum investasi yang rendah, investor berpotensi menyebar investasinya di beberapa peluang investasi dan dapat mendiversifikasi portofolio mereka. Pada akhirnya, investor dapat dengan mudah melacak hasil investasi mereka secara online, kapanpun, dimanapun."
"General","Who are the Borrowers?","We are open to all types of Businesses. All Borrowers must first successfully undergo Crowdo's due diligence process.",,"Siapa yang dimaksud dengan Peminjam?","Kami terbuka untuk semua jenis Bisnis. Semua Peminjam harus berhasil menjalani proses uji kelayakan terlebih dahulu oleh Crowdo."
"General","Who is eligible to become a Borrower?","In Singapore, we are open to businesses from around the world. For Indonesia, you must be a Indonesia incorporated entity / tax resident. For enquiries, please email enquiry.p2p@crowdo.com",,"Siapa saja yang bisa menjadi Peminjam?","Di Singapura, Anda harus menjadi perusahaan non-publik yang terdaftar. Untuk Indonesia, Anda merupakan perusahaan berbadan hukum/ wajib pajak di Indonesia."
"General","What is a Loan?","A Loan (or Debt Security) is an arrangement whereby one or many lenders/investors gives money to a borrower and the borrower agrees to repay the money along with interest at some future point in time, according to a pre-agreed repayment schedule. A Loan (or Debt Security) is defined by an amount (principle), the duration of the loan (tenor), the interest rate returned to investor (interest rate) and by the frequency of the repayments to investors (frequency).",,"Apa yang dimaksud dengan pinjaman?","Pinjaman adalah pengaturan dimana satu atau banyak pendana / investor memberikan uang kepada peminjam dan peminjam setuju untuk membayar kembali uang beserta bunga di beberapa waktu ke depan, menurut jadwal pembayaran yang telah disetujui sebelumnya. Pinjaman didefinisikan sebagai jumlah (pokok pinjaman), durasi pinjaman (tenor), tingkat bunga kembali ke investor (tingkat suku bunga) dan frekuensi pembayaran kepada investor (frekuensi)."
"General","Who can become an Investor?","Anyone can invest in Indonesia Rupiah denominated loans. To invest in Singapore-Dollar Denominated Debt Instruments, one must be an Accredited Investor or Institutional Investor. ",,"Siapa saja yang dapat menjadi Investor?","Setiap orang dapat mengajukan permohonan untuk menjadi Investor dengan mengirimkan informasi yang diperlukan melalui website Crowdo. Untuk memulai proses aplikasi, daftar dan login ke website lalu klik pada link ""Menjadi Investor""."
"General","Does Crowdo review each Loan before it is published?","Yes. Each submitted financing request will need to undergo business and technical reviews conducted by the Crowdo Team and its Partners before being published on the platform. However, this review is not meant to recommend the investablity of the business or guarantee Investment returns. Each Investor will need to make their own investment decision.",,"Apakah Crowdo memeriksa setiap pinjaman sebelum diterbitkan?","Ya. Setiap Pinjaman yang masuk, akan melalui analisa bisnis dan kajian teknis yang dilakukan oleh Tim Crowdo dan Partners sebelum dipublikasikan di platform. Namun, kajian ini tidak dimaksudkan untuk merekomendasikan investabilitas bisnis atau jaminan hasil investasi. Setiap Investor wajib membuat keputusan investasi mereka sendiri."
"General","Does Crowdo advise as to where to invest?","No. Crowdo is not authorized to provide financial advice. While we confirm and approve all the information provided in each offer, we do not make our own judgment about whether it's a good investment opportunity or not. We believe that a large number of diverse investors are better suited to assess the business's prospects than a few professional managers (Crowd Validation).",,"Apakah Crowdo menganjurkan untuk berinvestasi kemana?","Tidak. Crowdo tidak berwenang untuk memberikan nasihat keuangan. Sementara kami mengkonfirmasi dan menyetujui semua informasi yang tersedia di setiap Loan, kami tidak membuat penilaian sendiri tentang apakah pinjaman tersebut merupakan peluang investasi yang baik atau tidak. Kami percaya bahwa besarnya jumlah investor yang beragam lebih cocok untuk menilai prospek bisnis daripada beberapa manajer profesional (Validasi Crowd)."
"General","Is Crowdo a fund?","No. When investors invest in an offer through Crowdo they invest solely in the offer that they have chosen. However, upon request we can package multiple offers to be made available for investment funds looking to invest in larger pools of offers.",,"Apakah Crowdo memberikan dana?","Tidak. Ketika investor berinvestasi di pinjaman Crowdo mereka hanya berinvestasi di Pinjaman yang mereka pilih. Namun, terkadang kami menyediakan pinjaman untuk dana investasi perorangan yang ingin berinvestasi di kumpulan pinjaman bisnis yang akan dipilih."
"General","Is Crowdo authorised and regulated to operate in Indonesia?","Yes. Crowdo has received legal opinion that the current business model in compliant with current regulations within its respective jurisdictions.",,"Apakah Crowdo resmi dan sudah diregulasi untuk beroperasi di Indonesia?","Ya. Crowdo telah menerima pendapat hukum bahwa model bisnis saat ini telah mematuhi peraturan yang berlaku dalam yurisdiksi masing-masing."
"General","Is Crowdo authorised and regulated to operate in Singapore?","Yes. Crowdo is a Capital Market Service License holder (CMS: 100544-2) approved by the Monetary Authority of Singapore.",,"Apakah Crowdo resmi dan sudah diregulasi untuk beroperasi di Singapura?","Ya. Crowdo telah memegang Lisensi Layanan Pasar Modal disetujui oleh Otoritas Moneter Singapura."
"General","What is the difference between Crowdo International Platform and Crowdo Indonesian Platform?","From the Investors' perspective, the Crowdo International Platform is only open to Accredited investors and Institutional Investors). Crowdo's Indonesian Platform is available to everyone.
In terms of Borrowers, Crowdo's International Platform is available to SMEs worldwide, while Crowdo's Indonesian Platform is for Indonesian Borrowers only.",,"Apa perbedaan antara Platform Crowdo Internasional dan Platform Crowdo Indonesia ?","Dari sudut pandang investor, platform Crowdo Internasional saat ini hanya terbuka untuk investor Terakreditasi (link to explanation) dan Investor Institusional (link to explanation). Platform Crowdo Indonesia ini tersedia untuk semua orang.
 Untuk Peminjam, platform Crowdo Internasional tersedia untuk UKM dari seluruh dunia, sedangkan Platform Crowdo Indonesia diperuntukkan bagi UKM dan Warga Negara Indonesia."
,,,,,
,"Borrower",,,"Peminjam",
"Borrower","Who is eligible to raise funds on Crowdo's Peer to Peer lending platform?","For Crowdo Indonesian Platform, all businesses incorporated in Indonesia and every Indonesian citizen is eligible to raise funding.
For Crowdo's International Platform, most businesses worldwide are eligible to raise funding.",,"Siapa yang dapat mengumpulkan dana di platform pinjaman Peer to Peer Crowdo ?","Untuk platform Crowdo Indonesia, semua bisnis yang didirikan di Indonesia dan setiap warga negara Indonesia berhak untuk mengumpulkan pendanaan.
 Untuk platform Crowdo Internasional, setiap bisnis yang memenuhi syarat untuk meningkatkan pendanaan selama itu bukan perusahaan yang diperdagangkan/terbuka di publik."
"Borrower","How much money can I raise through Crowdo's Peer to Peer lending platform?","The limit for fundraising in Crowdo International Platform must fit within the prospectus exemptions. For Indonesia, a Borrower may raise up to 2bn IDR.",,"Berapa banyak dana yang dapat Saya kumpulkan melalui Platform pinjaman Peer to Peer Crowdo?","Batas untuk penggalangan dana di Platform Crowdo Internasional adalah SGD 5 juta untuk rentang 12 bulan. Untuk Indonesia, Peminjam bisa mengumpulkan hingga 2 milyar rupiah."
"Borrower","If I submit a Loan application, is it published right away on Crowdo's Peer to Peer lending website?","No. Each submitted fundraising request will need to be vetted by the Crowdo team before being published on the website.",,"Jika Saya mengajukan permohonan pinjaman, apakah akan diterbitkan langsung di website Crowdo?","Tidak. Setiap Pinjaman yang diajukan harus diperiksa oleh tim Crowdo sebelum dipublikasikan di website."
"Borrower","What do I give Investors in exchange for their investment(s)?","If the fundraising is successful and you manage to raise your target amount (principle), you are expected to repay to the investors the debt principle amount + interest, according to the pre-agreed repayment schedule and interest rate.",,"Apa yang Saya berikan kepada investor sebagai ganti investasi yang mereka lakukan?","Jika penggalangan dana Pinjaman berhasil dan pokok pinjaman Anda telah terkumpul, Anda diharapkan untuk membayar kepada investor sejumlah pokok pinjaman + bunga, sesuai dengan jadwal pembayaran dan tingkat bunga yang telah disepakati."
"Borrower","Can I raise funds as a equity investment?","Yes, to see more information about Equity Crowdfunding, please visit investment.crowdo.com.",,"Apakah saya dapat menggalang dana pada platform equity investment?","Ya, untuk informasi lebih lanjut mengenai Equity Crowdfunding, silahkan kunjungi investment.crowdo.com"
"Borrower","Am I able to get the investments as soon as they are committed by the Investors?","No. Before each offer is published, the Issuer is required to set the duration of the fundraising period. You are only allowed to access Investor funds if you achieve your base target amount in Investor commitments before the expiry of your fundraising period. If you do not achieve your base target amount, the funds are returned to the Investors.",,"Apakah saya akan menerima pencairan dana langsung setelah investor berkomitmen atas pendanaan mereka?","Tidak, Sebelum pinjaman diterbitkan, Peminjam diharuskan mengatur durasi periode pinjaman. Anda hanya diperbolehkan mengakses dana Investor jika Anda mencapai jumlah target pinjaman Anda sebelum berakhirnya periode penggalangan dana Anda. Jika Anda tidak mencapai jumlah target pinjaman Anda, dana dikembalikan ke Investor."
